k       nbComp          temps           temps_cumulé            PourcentageExploration
409     475000          0.005394                2.91454         0
408     475000          0.004907                2.91944         0
407     475000          0.00487         2.92431         0
406     475000          0.004843                2.92916         0
405     475000          0.004785                2.93394         0
404     475000          0.004863                2.9388          0
403     475000          0.004813                2.94362         0
402     475000          0.004797                2.94841         0
401     475000          0.004953                2.95337         0
400     475000          0.005368                2.95873         0
399     475000          0.004851                2.96359         0
398     475000          0.004828                2.96841         0
397     475000          0.004827                2.97324         0
396     475000          0.004911                2.97815         0
395     475000          0.004893                2.98304         0
394     475000          0.004786                2.98783         0
393     475000          0.00483         2.99266         0
392     475000          0.004942                2.9976          0
391     475000          0.005319                3.00292         0
390     475000          0.004993                3.00791         0
389     475000          0.004837                3.01275         0
388     475000          0.004849                3.0176          0
387     475000          0.004846                3.02245         0
386     475000          0.004852                3.0273          0
385     475000          0.00481         3.03211         0
384     475000          0.004812                3.03692         0
383     475000          0.004861                3.04178         0
382     475000          0.005305                3.04709         0
381     475000          0.004848                3.05193         0
380     475000          0.004933                3.05687         0
379     475000          0.004956                3.06182         0
378     475000          0.004808                3.06663         0
377     475000          0.004827                3.07146         0
376     475000          0.004817                3.07628         0
375     475000          0.00478         3.08106         0
374     475000          0.00498         3.08604         0
373     475000          0.00532         3.09136         0
372     475000          0.005126                3.09648         0
371     475000          0.004808                3.10129         0
370     475000          0.004877                3.10617         0
369     475000          0.004802                3.11097         0
368     475000          0.004877                3.11585         0
367     475000          0.00489         3.12074         0
366     475000          0.004871                3.12561         0
365     475000          0.004795                3.1304          0
364     475000          0.005313                3.13571         0
363     475000          0.004978                3.14069         0
362     475000          0.004906                3.1456          0
361     475000          0.004787                3.15039         0
360     475000          0.004907                3.15529         0
359     475000          0.005022                3.16031         0
358     475000          0.00483         3.16514         0
357     475000          0.004822                3.16997         0
356     475000          0.004825                3.17479         0
355     475000          0.005386                3.18018         0
354     475000          0.004919                3.1851          0
353     475000          0.005111                3.19021         0
352     475000          0.004841                3.19505         0
351     475000          0.00483         3.19988         0
350     475000          0.004798                3.20468         0
349     475000          0.004868                3.20954         0
348     475000          0.004785                3.21433         0
347     475000          0.005071                3.2194          0
346     475000          0.005373                3.22477         0
345     475000          0.004995                3.22977         0
344     475000          0.004893                3.23466         0
343     475000          0.004824                3.23949         0
342     475000          0.004804                3.24429         0
341     475000          0.004956                3.24925         0
340     475000          0.005012                3.25426         0
339     475000          0.004852                3.25911         0
338     475000          0.00479         3.2639          0
337     475000          0.005397                3.2693          0
336     475000          0.004877                3.27417         0
335     475000          0.004876                3.27905         0
334     475000          0.005025                3.28407         0
333     475000          0.004853                3.28893         0
332     475000          0.004863                3.29379         0
331     475000          0.004815                3.29861         0
330     475000          0.004821                3.30343         0
329     475000          0.004786                3.30821         0
328     475000          0.005316                3.31353         0
327     475000          0.004916                3.31844         0
326     475000          0.005036                3.32348         0
325     475000          0.004817                3.3283          0
324     475000          0.004808                3.33311         0
323     475000          0.004958                3.33806         0
322     475000          0.004809                3.34287         0
321     475000          0.0048          3.34767         0
320     475000          0.005026                3.3527          0
319     475000          0.005438                3.35814         0
318     475000          0.004931                3.36307         0
317     475000          0.004804                3.36787         0
316     475000          0.004815                3.37269         0
315     475000          0.00483         3.37752         0
314     475000          0.005018                3.38253         0
313     475000          0.004819                3.38735         0
312     475000          0.004841                3.39219         0
311     475000          0.004777                3.39697         0
310     475000          0.005394                3.40237         0
309     475000          0.004865                3.40723         0
308     475000          0.004985                3.41222         0
307     475000          0.004893                3.41711         0
306     475000          0.004999                3.42211         0
305     475000          0.005093                3.4272          0
304     475000          0.005036                3.43224         0
303     475000          0.004788                3.43702         0
302     475000          0.004825                3.44185         0
301     475000          0.005275                3.44712         0
300     475000          0.004933                3.45206         0
299     475000          0.005133                3.45719         0
298     475000          0.005093                3.46228         0
297     475000          0.004873                3.46716         0
296     475000          0.00483         3.47199         0
295     475000          0.004801                3.47679         0
294     475000          0.004833                3.48162         0
293     475000          0.005158                3.48678         0
292     475000          0.005306                3.49208         0
291     475000          0.005079                3.49716         0
290     475000          0.004824                3.50199         0
289     475000          0.004895                3.50688         0
288     475000          0.004815                3.5117          0
287     475000          0.00485         3.51655         0
286     475000          0.004824                3.52137         0
285     475000          0.004844                3.52622         0
284     475000          0.00479         3.53101         0
283     475000          0.0053          3.53631         0
282     475000          0.004866                3.54117         0
281     475000          0.00507         3.54624         0
280     475000          0.005241                3.55148         0
279     475000          0.004879                3.55636         0
278     475000          0.004833                3.56119         0
277     475000          0.004806                3.566           0
276     475000          0.004884                3.57088         0
275     475000          0.004882                3.57577         0
274     475000          0.005331                3.5811          0
273     475000          0.004922                3.58602         0
272     475000          0.004838                3.59086         0
271     475000          0.004815                3.59567         0
270     475000          0.004808                3.60048         0
269     475000          0.004813                3.60529         0
268     475000          0.004787                3.61008         0
267     475000          0.004858                3.61494         0
